data_id,display,remove,correct_data_id,correct_language,done_by
administrador servidores aplicaciones,administrador servidores aplicaciones,,,,
administrador sistema informatico,administrador sistema informático,,,,
administrador sistemas aix,administrador sistemas aix,,,,
administrador sistemas analista programador,administrador sistemas analista programador,,,,
administrador sistemas bases datos,administrador sistemas bases datos,,,,
administrador sistemas desarrollador,administrador sistemas desarrollador,,,,
administrador sistemas informaticos,administrador sistemas informáticos,,,,
administrador sistemas informaticos practicas,administrador sistemas informáticos practicas,,,,
administrador sistemas informaticos redes,administrador sistemas informáticos redes,,,,
administrador sistemas jr,administrador sistemas Jr.,,,,
administrador sistemas nivel,administrador sistemas nivel,,,,
administrador sistemas operativos,administrador sistemas operativos,,,,
administrador sistemas programador web,administrador sistemas programador web,,,,
administrador sistemas redes,administrador sistemas redes,,,,
administrador sistemas soporte tecnico,administrador sistemas soporte técnico,,,,
administrador sistemas tecnico,administrador sistemas técnico,,,,
administrador sistemas tecnico informatico,administrador sistemas técnico informático,,,,
administrador sistemas tecnico soporte,administrador sistemas técnico soporte,,,,
administrador sistemas web,administrador sistemas web,,,,
administrador sistemas wintel,administrador sistemas wintel,,,,
administrador solidario,administrador solidario,,,,
administrador soporte tecnico,administrador soporte técnico,,,,
administrador tecnico,administrador técnico,,,,
administrador tecnico informatico,administrador técnico informático,,,,
administrador tecnico sistemas,administrador técnico sistemas,,,,
administrador tienda,administrador tienda,,,,
administrador trabajador,administrador trabajador,,,,
administrador unico director general,administrador único director general,,,,
administrador unico gerente,administrador único gerente,,,,
administrador unico propietario,administrador único propietario,,,,
administrador web,administrador web,,,,
administrador wintel,administrador wintel,,,,
administraivo,administrativo,,,,
administrativo,administrativo,,,,
administrativo / jefe de almacen,administrativo / jefe de almacén,,,,
administrativo adjunto,administrativo adjunto,,,,
administrativo adjunto gerencia,administrativo adjunto gerencia,,,,
administrativo aduanas,administrativo aduanas,,,,
administrativo agente de viajes,administrativo agente de viajes,,,,
administrativo almacen,administrativo almacén,,,,
administrativo almacenero,administrativo almacenero,,,,
administrativo aprovisionamiento,administrativo aprovisionamiento,,,,
administrativo area,administrativo área,,,,
administrativo asesoria,administrativo asesoría,,,,
administrativo atencion al cliente,administrativo atención al cliente,,,,
administrativo atencion usuario,administrativo atención usuario,,,,
administrativo auditoria,administrativo auditoria,,,,
administrativo auxiliar administrativo,administrativo auxiliar administrativo,,,,
administrativo auxiliar contable,administrativo auxiliar contable,,,,
administrativo bancario,administrativo bancario,,,,
administrativo base datos,administrativo base datos,,,,
administrativo civil,administrativo civil,,,,
administrativo clinica,administrativo clínica,,,,
administrativo compras almacen,administrativo compras almacén,,,,
administrativo compras ventas,administrativo compras ventas,,,,
administrativo con tareas de atencion al publico,administrativo con tareas de atención al público,,,,
administrativo contable,administrativo contable,,,,
administrativo contable atencion,administrativo contable atención,,,,
administrativo contable compras,administrativo contable compras,,,,
administrativo contable fiscal laboral,administrativo contable fiscal laboral,,,,
administrativo contable laboral,administrativo contable laboral,,,,
administrativo contable recepcionista,administrativo contable recepcionista,,,,
administrativo contable secretario,administrativo contable secretario,,,,
administrativo costes,administrativo costes,,,,
administrativo cuentas,administrativo cuentas,,,,
administrativo cuentas pagar,administrativo cuentas pagar,,,,
administrativo de banca,administrativo de banca,,,,
administrativo de comercio,administrativo de comercio,,,,
administrativo de compras,administrativo de compras,,,,
administrativo de contabilidad,administrativo de contabilidad,,,,
administrativo de contabilidad y finanzas,administrativo de contabilidad y finanzas,,,,
administrativo de cuentas,administrativo de cuentas,,,,
administrativo de expediciones,administrativo de expediciones,,,,
administrativo de gerencia,administrativo de gerencia,,,,
administrativo de mantenimiento,administrativo de mantenimiento,,,,
administrativo de nivel,administrativo de nivel,,,,
administrativo de proyectos,administrativo de proyectos,,,,
administrativo de recepcion,administrativo de recepción,,,,
administrativo de recursos humanos,administrativo de recursos humanos,,,,
administrativo de seleccion de personal,administrativo de selección de personal,,,,
administrativo del sector de la construccion,administrativo del sector de la construcción,,,,
administrativo departamento aduanas,administrativo departamento aduanas,,,,
administrativo departamento atencion,administrativo departamento atención,,,,
administrativo departamento calidad,administrativo departamento calidad,,,,
administrativo departamento cobros,administrativo departamento cobros,,,,
administrativo departamento compras,administrativo departamento compras,,,,
administrativo departamento economico financiero,administrativo departamento económico financiero,,,,
administrativo departamento estudios,administrativo departamento estudios,,,,
administrativo departamento fiscal,administrativo departamento fiscal,,,,
administrativo departamento hh,administrativo departamento RR.HH.,,,,
administrativo departamento operaciones,administrativo departamento operaciones,,,,
administrativo departamento pagos,administrativo departamento pagos,,,,
administrativo departamento prevencion riesgos laborales,administrativo departamento prevención riesgos laborales,,,,
administrativo departamento produccion,administrativo departamento producción,,,,
administrativo departamento proveedores,administrativo departamento proveedores,,,,
administrativo departamento tecnico,administrativo departamento técnico,,,,
administrativo departamento tesoreria,administrativo departamento tesorería,,,,
administrativo docente,administrativo docente,,,,
administrativo documentalista,administrativo documentalista,,,,
administrativo dpto calidad,administrativo dpto. calidad,,,,
administrativo dpto cobros,administrativo dpto. cobros,,,,
administrativo dpto compras,administrativo dpto. compras,,,,
administrativo dpto contabilidad,administrativo dpto. contabilidad,,,,
administrativo dpto financiero,administrativo dpto. financiero,,,,
administrativo dpto finanzas,administrativo dpto. finanzas,,,,
administrativo dpto gestion,administrativo dpto. gestión,,,,
administrativo dpto laboral,administrativo dpto. laboral,,,,
administrativo dpto operaciones,administrativo dpto. operaciones,,,,
administrativo dpto produccion,administrativo dpto. producción,,,,
administrativo dpto proveedores,administrativo dpto. proveedores,,,,
administrativo dpto tecnico,administrativo dpto. técnico,,,,
administrativo dpto tesoreria,administrativo dpto. tesorería,,,,
administrativo dpto trafico,administrativo dpto. trafico,,,,
administrativo en practicas,administrativo en prácticas,,,,
administrativo entidad financiera,administrativo entidad financiera,,,,
administrativo estudios,administrativo estudios,,,,
administrativo exportaciones,administrativo exportaciones,,,,
administrativo financiero,administrativo financiero,,,,
administrativo finanzas,administrativo finanzas,,,,
administrativo fincas,administrativo fincas,,,,
administrativo fiscal,administrativo fiscal,,,,
administrativo fiscal contable,administrativo fiscal contable,,,,
administrativo formador,administrativo formador,,,,
administrativo general,administrativo general,,,,
administrativo gerencia,administrativo gerencia,,,,
administrativo gestion,administrativo gestión,,,,
administrativo gestor telefonico,administrativo gestor telefónico,,,,
administrativo grandes cuentas,administrativo grandes cuentas,,,,
administrativo hipotecario,administrativo hipotecario,,,,
administrativo importaciones,administrativo importaciones,,,,
administrativo informatico,administrativo informático,,,,
administrativo inmobiliaria,administrativo inmobiliaria,,,,
administrativo inmobiliario,administrativo inmobiliario,,,,
administrativo judicial,administrativo judicial,,,,
administrativo juridico,administrativo jurídico,,,,
administrativo laboral,administrativo laboral,,,,
administrativo laboral contable,administrativo laboral contable,,,,
administrativo laboral fiscal,administrativo laboral fiscal,,,,
administrativo licitaciones,administrativo licitaciones,,,,
administrativo medios pago,administrativo medios pago,,,,
administrativo nominas,administrativo nominas,,,,
administrativo oficial primera,administrativo oficial primera,,,,
administrativo oficina,administrativo oficina,,,,
administrativo oficina recepcionista,administrativo oficina recepcionista,,,,
administrativo oficina tecnico,administrativo oficina técnico,,,,
administrativo oficinas,administrativo oficinas,,,,
administrativo operario,administrativo operario,,,,
administrativo pasante,administrativo pasante,,,,
administrativo pedidos,administrativo pedidos,,,,
administrativo planificacion,administrativo planificación,,,,
administrativo prestaciones,administrativo prestaciones,,,,
administrativo prevencion riesgos laborales,administrativo prevención riesgos laborales,,,,
administrativo programador,administrativo programador,,,,
administrativo proveedores,administrativo proveedores,,,,
administrativo pymes,administrativo pymes,,,,
administrativo recambios,administrativo recambios,,,,
administrativo relaciones,administrativo relaciones,,,,
administrativo relaciones publicas,administrativo relaciones publicas,,,,
administrativo repartidor,administrativo repartidor,,,,
administrativo responsable almacen,administrativo responsable almacén,,,,
administrativo responsable calidad,administrativo responsable calidad,,,,
administrativo responsable compras,administrativo responsable compras,,,,
administrativo responsable oficina,administrativo responsable oficina,,,,
administrativo riesgos,administrativo riesgos,,,,
administrativo sanitario,administrativo sanitario,,,,
administrativo sap,administrativo SAP,,,,
administrativo sat,administrativo SAP,,,,
administrativo secretariado,administrativo secretariado,,,,
administrativo secretario recepcionista,administrativo secretario recepcionista,,,,
administrativo seguros,administrativo seguros,,,,
administrativo seleccion,administrativo selección,,,,
administrativo senior,administrativo senior,,,,
administrativo servicio,administrativo servicio,,,,
administrativo servicio atencion,administrativo servicio atención,,,,
administrativo servicio tecnico,administrativo servicio técnico,,,,
administrativo servicios,administrativo servicios,,,,
administrativo servicios centrales,administrativo servicios centrales,,,,
administrativo servicios generales,administrativo servicios generales,,,,
administrativo siniestros,administrativo siniestros,,,,
administrativo sucursal,administrativo sucursal,,,,
administrativo sucursal bancaria,administrativo sucursal bancaria,,,,
administrativo superior,administrativo superior,,,,
administrativo supervisor,administrativo supervisor,,,,
administrativo sustitucion,administrativo sustitución,,,,
administrativo tecnico compras,administrativo técnico compras,,,,
administrativo tecnico seleccion,administrativo técnico selección,,,,
administrativo telefonista,administrativo telefonista,,,,
administrativo tienda,administrativo tienda,,,,
administrativo tramitador,administrativo tramitador,,,,
administrativo tramitador siniestros,administrativo tramitador siniestros,,,,
administrativo transportes,administrativo transportes,,,,
administrativo urbanismo,administrativo urbanismo,,,,
administrativo urgencias,administrativo urgencias,,,,
administrativo ute,administrativo ute,,,,
administrativo venta,administrativo venta,,,,
administrativo ventanilla,administrativo ventanilla,,,,
administrativo ventas,administrativo ventas,,,,
administrivo,administrativo,,,,
administrtivo,administrativo,,,,
adminsitrador de sistemas,administrador de sistemas,,,,
adminstrador de sistemas sap,administrador de sistemas SAP,,,,
afilador,afilador,,,,
aforador,aforador,,,,
agente,agente,,,,
agente administrativo,agente administrativo,,,,
agente adquisiciones,agente adquisiciones,,,,
agente asesor de seguros,agente asesor de seguros,,,,
agente autorizado,agente autorizado,,,,
agente auxiliar,agente auxiliar,,,,
agente bancario,agente bancario,,,,
agente censal,agente censal,,,,
agente cobros,agente cobros,,,,
agente comercio exterior,agente comercio exterior,,,,
agente consignatario,agente consignatario,,,,
agente cuentas,agente cuentas,,,,
agente de aduanas,agente de aduanas,,,,
agente de atencion al ciudadano,agente de atención al ciudadano,,,,
agente de banca,agente de banca,,,,
agente de bolsa,agente de bolsa,,,,
agente de comercio,agente de comercio,,,,
agente de compras,agente de compras,,,,
agente de cruceros,agente de cruceros,,,,
agente de desarrollo,agente de desarrollo,,,,
agente de desarrollo tecnologico,agente de desarrollo tecnológico,,,,
agente de grandes cuentas,agente de grandes cuentas,,,,
agente de igualdad,agente de igualdad,,,,
agente de medio ambiente,agente de medio ambiente,,,,
agente de movilidad,agente de movilidad,,,,
agente de producto,agente de producto,,,,
agente de propiedad industrial,agente de propiedad industrial,,,,
agente de publicidad,agente de publicidad,,,,
agente de reclamaciones,agente de reclamaciones,,,,
agente de relaciones publicas,agente de relaciones públicas,,,,
agente de reservas,agente de reservas,,,,
agente de reservas hoteleras,agente de reservas hoteleras,,,,
agente de reservas individuales,agente de reservas individuales,,,,
agente de salud,agente de salud,,,,
